museum_name,address,district
63아트미술관,영등포구 63로 50 63빌딩 60층,영등포구
JCCD미술관,종로구 창경궁로35길 29,종로구
K현대미술관,강남구 선릉로 807,강남구
OCI미술관,종로구 우정국로 45-14,종로구
국립현대미술관덕수궁관,중구 장충단로 59,중구
국립현대미술관서울관,종로구 삼청로 30,종로구
금호미술관,종로구 삼청로 18,종로구
김세중미술관,용산구 용산동70길 35,용산구
대림미술관,종로구 자하문로4길 21,종로구
디뮤지엄,성동구 왕십리로 83-21,성동구
리움미술관,용산구 이태원로55길 60-16,용산구
브이센터더라이브뮤지엄,강동구 천호대로61길 103,강동구
사비나미술관,은평구 진관1로 93,은평구
서울과학기술대학교미술관,노원구 공릉동 232,노원구
서울대학교미술관,관악구 관악로 1,관악구
서울시립미술관,중구 덕수궁길 99,중구
서울시립미술관남서울미술관,관악구 남부순환로 2076,관악구
서울시립미술관북서울미술관,노원구 동일로 1238,노원구
성곡미술관,종로구 경북궁길 42,종로구
성북구립미술관,성북구 성북로 134,성북구
세종문화회관미술관,"종로구 세종대로 175 1층, 지하1층",종로구
세화미술관,종로구 새문안로 68 3층,종로구
숙명여자대학교문신미술관,용산구 청파로47길 100,용산구
스마미술관,송파구 올림픽로 424,송파구
아라리오뮤지엄인스페이스,종로구 율곡로 83,종로구
아트선재센터,종로구 동숭길 3,종로구
아트센터나비,종로구 종로 26 4층,종로구
예술의전당한가람디자인미술관,서초구 남부순환로 2406,서초구
예술의전당한가람미술관,서초구 남부순환로 2406,서초구
육군박물관아정미술관,노원구 공릉동 12,노원구
일민미술관,종로구 세종대로 152,종로구
자하미술관,종로구 창의문로5가길 46,종로구
코리아나미술관,강남구 언주로 827,강남구
포스코미술관,강남구 테헤란로 440 지하1층,강남구
학고재박남수미술관,종로구 원서동 16,종로구
한미사진미술관,송파구 위례성대로 71,송파구
한양여자대학교미술관,성동구 살곶이길 200,성동구
한원미술관,서초구 남부순환로 2423,서초구
헬로우뮤지엄,성동구 잠수교로12길 20,성동구
환기미술관,종로구 자하문로40길 63,종로구
